Date,From,Latitude,Longitude,To
1/8/13,Boston / Logan (BOS/KBOS),,,Cincinnati / Northern Kentucky Int (CVG/KCVG)
1/8/13,Cincinnati / Northern Kentucky Int (CVG/KCVG),,,Salt Lake City / Salt Lake City (SLC/KSLC)
1/8/13,Salt Lake City / Salt Lake City (SLC/KSLC),,,Bozeman / Gallatin Field (BZN/KBZN)
3/7/13,Minneapolis / St Paul (MSP/KMSP),,,Windsor Locks / Bradley (BDL/KBDL)
3/7/13,Bozeman / Gallatin Field (BZN/KBZN),,,Minneapolis / St Paul (MSP/KMSP)
3/9/13,New York / John F Kennedy (JFK/KJFK),,,Nassau / Lynden Pindling (NAS/MYNN)
3/13/13,Nassau / Lynden Pindling (NAS/MYNN),,,New York / John F Kennedy (JFK/KJFK)
3/17/13,Boston / Logan (BOS/KBOS),,,Minneapolis / St Paul (MSP/KMSP)
3/17/13,Minneapolis / St Paul (MSP/KMSP),,,Bozeman / Gallatin Field (BZN/KBZN)
8/11/13,Providence / Providence-Theodore Francis (PVD/KPVD),,,Chicago / O'Hare (ORD/KORD)
8/11/13,Chicago / O'Hare (ORD/KORD),,,Madison / Dane Co Regl-Truax Fld (MSN/KMSN)
8/14/13,Madison / Dane Co Regl-Truax Fld (MSN/KMSN),,,Cleveland / Hopkins (CLE/KCLE)
8/14/13,Cleveland / Hopkins (CLE/KCLE),,,Providence / Providence-Theodore Francis (PVD/KPVD)
8/17/13,Boston / Logan (BOS/KBOS),,,Salt Lake City / Salt Lake City (SLC/KSLC)
8/22/13,Salt Lake City / Salt Lake City (SLC/KSLC),,,Boston / Logan (BOS/KBOS)
9/24/13,Boston / Logan (BOS/KBOS),,,Philadelphia / Philadelphia (PHL/KPHL)
9/26/13,Philadelphia / Philadelphia (PHL/KPHL),,,Boston / Logan (BOS/KBOS)
10/8/13,Boston / Logan (BOS/KBOS),,,London / Heathrow (LHR/EGLL)
10/18/13,Paris / Charles de Gaulle (CDG/LFPG),,,Barcelona / El Prat (BCN/LEBL)
10/22/13,Barcelona / El Prat (BCN/LEBL),,,Lisbon / Portela (LIS/LPPT)
10/26/13,Lisbon / Portela (LIS/LPPT),,,Madrid / Barajas (MAD/LEMD)
10/30/13,Madrid / Barajas (MAD/LEMD),,,Geneva / Cointrin (GVA/LSGG)
11/27/13,Amsterdam / Schiphol (AMS/EHAM),,,Boston / Logan (BOS/KBOS)
1/24/14,Boston / Logan (BOS/KBOS),,,Philadelphia / Philadelphia (PHL/KPHL)
1/25/14,Philadelphia / Philadelphia (PHL/KPHL),,,Boston / Logan (BOS/KBOS)
3/27/14,Boston / Logan (BOS/KBOS),,,New York / John F Kennedy (JFK/KJFK)
3/27/14,New York / John F Kennedy (JFK/KJFK),,,Salt Lake City / Salt Lake City (SLC/KSLC)
3/31/14,Salt Lake City / Salt Lake City (SLC/KSLC),,,Long Beach / Daugherty Fld (LGB/KLGB)
3/31/14,Long Beach / Daugherty Fld (LGB/KLGB),,,Boston / Logan (BOS/KBOS)
5/9/14,Boston / Logan (BOS/KBOS),,,Chicago / O'Hare (ORD/KORD)
5/11/14,Chicago / O'Hare (ORD/KORD),,,Boston / Logan (BOS/KBOS)
5/31/14,Boston / Logan (BOS/KBOS),,,Los Angeles / Los Angeles International (LAX/KLAX)
6/4/14,Los Angeles / Los Angeles International (LAX/KLAX),,,Salt Lake City / Salt Lake City (SLC/KSLC)
6/4/14,Salt Lake City / Salt Lake City (SLC/KSLC),,,Boston / Logan (BOS/KBOS)
7/17/14,New York / John F Kennedy (JFK/KJFK),,,Nassau / Lynden Pindling (NAS/MYNN)
7/22/14,Nassau / Lynden Pindling (NAS/MYNN),,,New York / John F Kennedy (JFK/KJFK)
12/10/14,Philadelphia / Philadelphia (PHL/KPHL),,,Salt Lake City / Salt Lake City (SLC/KSLC)
12/10/14,Salt Lake City / Salt Lake City (SLC/KSLC),,,San Francisco / San Francisco International (SFO/KSFO)
12/15/14,San Francisco / San Francisco International (SFO/KSFO),,,Minneapolis / St Paul (MSP/KMSP)
12/15/14,Minneapolis / St Paul (MSP/KMSP),,,Philadelphia / Philadelphia (PHL/KPHL)
5/13/15,Philadelphia / Philadelphia (PHL/KPHL),,,Detroit / Detroit Metropolitan Wayne Co (DTW/KDTW)
5/13/15,Detroit / Detroit Metropolitan Wayne Co (DTW/KDTW),,,San Francisco / San Francisco International (SFO/KSFO)
5/16/15,Detroit / Detroit Metropolitan Wayne Co (DTW/KDTW),,,Philadelphia / Philadelphia (PHL/KPHL)
5/16/15,San Francisco / San Francisco International (SFO/KSFO),,,Detroit / Detroit Metropolitan Wayne Co (DTW/KDTW)
5/18/15,Philadelphia / Philadelphia (PHL/KPHL),,,Minneapolis / St Paul (MSP/KMSP)
5/28/15,Minneapolis / St Paul (MSP/KMSP),,,Philadelphia / Philadelphia (PHL/KPHL)
5/28/15,Philadelphia / Philadelphia (PHL/KPHL),,,Boston / Logan (BOS/KBOS)
6/1/15,Boston / Logan (BOS/KBOS),,,Charlotte / Douglas (CLT/KCLT)
6/1/15,Charlotte / Douglas (CLT/KCLT),,,Minneapolis / St Paul (MSP/KMSP)
6/12/15,Minneapolis / St Paul (MSP/KMSP),,,Philadelphia / Philadelphia (PHL/KPHL)
6/15/15,Philadelphia / Philadelphia (PHL/KPHL),,,Chicago / O'Hare (ORD/KORD)
6/16/15,Chicago / O'Hare (ORD/KORD),,,Minneapolis / St Paul (MSP/KMSP)
6/19/15,Minneapolis / St Paul (MSP/KMSP),,,Washington / Dulles (IAD/KIAD)
6/19/15,Washington / Dulles (IAD/KIAD),,,Philadelphia / Philadelphia (PHL/KPHL)
6/22/15,Philadelphia / Philadelphia (PHL/KPHL),,,Minneapolis / St Paul (MSP/KMSP)
7/2/15,Minneapolis / St Paul (MSP/KMSP),,,Philadelphia / Philadelphia (PHL/KPHL)
7/5/15,Boston / Logan (BOS/KBOS),,,Chicago / O'Hare (ORD/KORD)
7/5/15,Chicago / O'Hare (ORD/KORD),,,Minneapolis / St Paul (MSP/KMSP)
7/18/15,Minneapolis / St Paul (MSP/KMSP),,,Philadelphia / Philadelphia (PHL/KPHL)
7/21/15,Philadelphia / Philadelphia (PHL/KPHL),,,Minneapolis / St Paul (MSP/KMSP)
7/29/15,Minneapolis / St Paul (MSP/KMSP),,,Philadelphia / Philadelphia (PHL/KPHL)
7/31/15,Boston / Logan (BOS/KBOS),,,Charlotte / Douglas (CLT/KCLT)
7/31/15,Charlotte / Douglas (CLT/KCLT),,,Nassau / Lynden Pindling (NAS/MYNN)
8/4/15,Nassau / Lynden Pindling (NAS/MYNN),,,Miami / Miami International (MIA/KMIA)
8/4/15,Miami / Miami International (MIA/KMIA),,,Boston / Logan (BOS/KBOS)
9/1/15,Philadelphia / Philadelphia (PHL/KPHL),,,Minneapolis / St Paul (MSP/KMSP)
9/4/15,Minneapolis / St Paul (MSP/KMSP),,,Philadelphia / Philadelphia (PHL/KPHL)
10/12/15,Philadelphia / Philadelphia (PHL/KPHL),,,Detroit / Detroit Metropolitan Wayne Co (DTW/KDTW)
10/12/15,Detroit / Detroit Metropolitan Wayne Co (DTW/KDTW),,,San Francisco / San Francisco International (SFO/KSFO)
10/16/15,San Francisco / San Francisco International (SFO/KSFO),,,New York / John F Kennedy (JFK/KJFK)
10/17/15,New York / John F Kennedy (JFK/KJFK),,,Philadelphia / Philadelphia (PHL/KPHL)
1/11/16,Philadelphia / Philadelphia (PHL/KPHL),,,New York / John F Kennedy (JFK/KJFK)
1/11/16,New York / John F Kennedy (JFK/KJFK),,,San Francisco / San Francisco International (SFO/KSFO)
