Latitude,Longitude
39.95314958,-75.20430016
39.95304114,-75.20436991
39.95289786,-75.2043874
39.95315709,-75.20421915
39.95317537,-75.20437795
39.95324659,-75.20412966
39.95318716,-75.20413379
39.95299471,-75.20436334
39.95308427,-75.20411817
39.95318942,-75.20428436
39.95320954,-75.20418681
39.95319025,-75.20416772
39.95301975,-75.20413041
39.95298394,-75.20433305
39.95302349,-75.20441988
39.95307419,-75.20432026
39.95653654,-75.16059322
39.95314194,-75.20415246
39.95317741,-75.2040431
39.95304327,-75.20427156
39.95290883,-75.2043866
39.95314607,-75.20410068
39.95318018,-75.20411756
39.95230044,-75.20485955
40.02087637,-75.3153952
39.95297927,-75.20434875
39.95290674,-75.20436625
39.95290081,-75.20448665
39.95302363,-75.20434244
39.95645375,-75.16039205
39.95307588,-75.20429263
39.95311413,-75.20425177
39.95301491,-75.20427285
39.95287771,-75.20440725
39.95315456,-75.20414539
39.95650727,-75.1604275
39.95318987,-75.20405179
39.9531437,-75.20445723
39.95298113,-75.20423588
39.95296138,-75.20434874
39.95302241,-75.20434147
39.95306686,-75.2042932
39.95358963,-75.20283431
39.95316289,-75.20432111
39.95336708,-75.20417685
39.95296965,-75.20440686
39.95315083,-75.20421351
39.95318409,-75.2041522
39.95314306,-75.20426019
39.95879761,-75.17110685
39.9528909,-75.20466015
39.95293331,-75.20465814
39.95278697,-75.20450357
39.9528728,-75.20439654
39.95334394,-75.20412915
39.98359955,-75.37382816
39.95297719,-75.20363437
39.9529769,-75.20442135
39.95297227,-75.20438629
39.95320212,-75.20440131
39.95313354,-75.20417721
39.95317545,-75.20424567
39.95383314,-75.19715612
39.95276945,-75.20431146
39.95303335,-75.20438162
39.95382884,-75.20668696
39.95650213,-75.16050027
39.95649132,-75.16058499
39.9531621,-75.20424633
39.95332475,-75.20444264
39.9529256,-75.20434432
39.95302434,-75.2043475
39.94185873,-75.15025795
39.94503894,-75.14684924
39.95661114,-75.16051572
39.95318024,-75.20413519
39.95293377,-75.20416436
39.95292355,-75.20417894
39.95320134,-75.20431192
39.95294587,-75.20457154
39.95314141,-75.20435519
39.95294677,-75.20447072
39.95305348,-75.20441168
39.95099504,-75.20134242
39.95320614,-75.20474338
39.95311893,-75.20419555
39.95306483,-75.20433795
39.95294241,-75.20442881
39.9530029,-75.2043052
39.95298918,-75.2044088
39.95314312,-75.20430091
40.13700806,-75.06161874
39.95403043,-75.20100823
39.95319245,-75.20471393
39.95292171,-75.20433755
39.95297176,-75.20434602
39.95305638,-75.20411356
39.95311897,-75.20421364
39.95332957,-75.20444834
39.95388805,-75.20512635
39.95304831,-75.20422923
39.95306483,-75.20417291
39.95249825,-75.20081537
40.75025985,-73.99449341
40.72570262,-73.99858291
40.72542365,-73.99880031
40.7252895,-73.99901889
39.95297377,-75.20428101
39.95298223,-75.20435934
39.95302879,-75.20431924
39.9531364,-75.20431666
39.95315971,-75.20429947
39.95302864,-75.20438601
39.95317652,-75.20417632
39.95315623,-75.20433767
39.95313417,-75.20401137
39.95296289,-75.20432314
39.95311658,-75.20425421
39.95420573,-75.16105338
39.95211155,-75.16143146
39.95318687,-75.20425296
39.95319732,-75.20411479
39.95296705,-75.20449595
39.95287753,-75.20434281
39.95304054,-75.20423783
39.9532315,-75.20387359
39.95308595,-75.20418691
39.95314734,-75.20430494
39.95300969,-75.20438993
39.95245866,-75.20089956
39.95354733,-75.20440651
39.95280038,-75.20430978
39.95383721,-75.19716049
39.9531883,-75.20416155
39.95316649,-75.20423041
39.95301232,-75.20425709
39.95304293,-75.20420529
39.95296124,-75.2043442
39.95317319,-75.20433634
39.9530723,-75.20434996
39.95302169,-75.20439772
39.95318817,-75.20423435
39.95317592,-75.20423416
39.95315162,-75.20414148
39.95308906,-75.20440706
39.95297046,-75.20431526
39.95316796,-75.20411036
39.95319261,-75.20423428
39.95362578,-75.20433032
39.9530084,-75.20415322
39.9532613,-75.20479979
39.95724578,-75.18212865
39.95316643,-75.20436348
39.95311039,-75.20424143
39.95302912,-75.20075544
39.95293172,-75.20429838
39.95298013,-75.20432118
39.95372468,-75.19865288
39.95645487,-75.16065227
39.98072191,-75.12823941
39.95382723,-75.19716016
39.95298436,-75.2042712
39.9528746,-75.20448121
39.95302501,-75.20420669
39.94884961,-75.14398271
39.95297534,-75.20433984
39.95289518,-75.20443149
39.95345295,-75.20449417
39.95378469,-75.20657531
39.95277188,-75.20491873
39.95311938,-75.20440813
39.95303188,-75.20197383
39.95286278,-75.20425673
39.95295993,-75.20442151
39.95306323,-75.20422566
39.95301146,-75.20425866
